"Source:","C:\Users\hr193\OneDrive\Documents\Projects\hoatzin\board\hoatzin.kicad_sch"
"Date:","11/10/2022 12:02:30 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"","","R14","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","R15","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","R18","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 10kΩ 0805  Chip Resistor - Surface Mount ROHS","P10KDACT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERA-6AEB103V","","","",""
"","","R19","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 10kΩ 0805  Chip Resistor - Surface Mount ROHS","P10KDACT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERA-6AEB103V","","","",""
"","","R20","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","U1","STM32L476RGT6","MCU_ST_STM32L4:STM32L496RGTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://no.mouser.com/datasheet/2/389/dm00108832-1798239.pdf","","","","","ARM Microcontrollers - MCU Ultra-low-power FPU Arm Cortex-M4 MCU 80 MHz 1 Mbyte of Flash LCD, USB OTG, DFSD","","","2494460","","C74797","STMicroelectronics","STMicroelectronics","STM32L476RGT6","","","",""
"","","U2","6N139","Isolator:6N138","footprints:6N139SDM","https://www.snapeda.com/parts/6N139SDM/ON%20Semiconductor/datasheet/","","","","","Optoisolator Darlington with Base Output 5000Vrms 1 Channel 8-SMD","6N139SDMCT-ND","","","","C42186","ON Semiconductor","ON Semiconductor","6N139SDM","","","",""
"","","U3","SN74LS14D","SN74LS14:SN74LS14D","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.snapeda.com/parts/SN74LS14DR/Texas%20Instruments/datasheet/","","","","","6-ch, 4.75-V to 5.25-V bipolar inverters with Schmitt-Trigger inputs","296-1212-1-ND","","","","C7739","Texas Instruments","Texas Instruments","SN74LS14DR","","","",""
"","","U4","LD3985M33R_SOT23","Regulator_Linear:LD3985M33R_SOT23","Package_TO_SOT_SMD:SOT-23-5","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00003395.pdf","","","","","IC REG LINEAR 3.3V 150MA SOT23-5","497-3504-1-ND","","","","C46243","STMicroelectronics","STMicroelectronics","LD3985M33R","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"1","3","C1, C10, C15","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21A105KBCLNNC_Samsung.pdf","","","","","1 µF ±10% 50V Ceramic Capacitor X5R 0805 (2012 Metric)","1276-2396-1-ND","","","","C318694","Samsung","Samsung","CL21A105KBCLNNC","","","",""
"2","2","C2, C3","20pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21C200JBANNNC_Samsung.pdf","","","","","20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","1276-1829-1-ND","","","","C1798","Samsung","Samsung","CL21C200JBANNNC","","","",""
"3","2","C4, C5","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21B103KBANNNC_Samsung.pdf","","","","","10000 pF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","1276-1015-1-ND","","","","C1710","Samsung","Samsung","CL21B103KBANNNC","","","",""
"4","6","C6, C7, C8, C9, C13, C16","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
"5","1","C11","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21A106KOQNNNG_Samsung_Electro-Mechanics.pdf","","","","","10 µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)","1276-6455-1-ND","","","","C307520","Samsung","Samsung","CL21A106KOQNNNG","","","",""
"6","1","C12","1uF_X5R","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21A105KBCLNNC_Samsung.pdf","","","","","1 µF ±10% 50V Ceramic Capacitor X5R 0805 (2012 Metric)","1276-2396-1-ND","","","","C318694","Samsung","Samsung","CL21A105KBCLNNC","","","",""
"7","1","C14","10nF_X7R","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21B103KBANNNC_Samsung.pdf","","","","","10000 pF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","1276-1015-1-ND","","","","C1710","Samsung","Samsung","CL21B103KBANNNC","","","",""
"8","1","D1","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.snapeda.com/parts/1N4148W/SMC%20Diode%20Solutions/datasheet/","","","","","Diode Standard 75 V 250mA (DC) Surface Mount SOD-123","","","2675147","","C176288","SMC Diode Solutions","SMC Diode Solutions","1N4148W","","","",""
"9","1","D2","BAT60AE6327HTSA1","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/bat60aseries.pdf?folderId=db3a304313d846880113def5812204a1&fileId=db3a304313d846880113def70c9304a9","","","","","600μA@8V 10V Single 3A 300mV@1A SOD-323 Schottky Barrier Diodes (SBD) ROHS","BAT60AE6327HTSA1CT-ND","","","","","Infineon Technologies","Infineon Technologies","BAT60AE6327HTSA1","","","",""
